Gene.name;AIREdep
Pkhd1;yes
Syt3;yes
Jakmip1;yes
Gm20817;no
Spata31;no
Slc19a3;yes
Spata31d1c;no
Serpinb6b;yes
Csf3;yes
Npffr2;no
1700001L19Rik;yes
Ucn2;no
Ereg;yes
Aqp9;yes
Otop1;yes
Pitx1;no
Ush1c;yes
Bpifa1;yes
Rd3;yes
2310050C09Rik;yes
Kcns1;yes
Igf2;yes
Otof;yes
Gpx2;yes
Adamdec1;yes
Spata31d1c;no
Spx;yes
Pou2f2;yes
Teddm1b;no
Ascl2;yes
Mmp13;yes
Tal1;yes
Teddm1b;no
Rnase1;yes
Hsd3b9;yes
Mogat1;no
Fabp6;yes
Rimbp2;yes
Smco3;yes
Dmrtc2;no
Adam18;no
Ccl12;yes
Nkx6-3;no
Tlx1;yes
Prlh;no
Kcnc4;yes
Rnase10;yes
Vwa5b2;yes
Gpr31b;no
Igfbp6;yes
Prkcg;yes
Spata21;yes
Crygn;yes
Cyp2a4;yes
Ifitm6;yes
Klk1b8;yes
Gtsf1l;no
Olfr828;no
Kif12;yes
Fcgr1;no
Ptgdr2;no
Bmp15;no
Mal;yes
Syt15;yes
Zbbx;yes
Lhx2;yes
Tmprss9;no
Wfdc8;yes
Slc38a3;yes
Vnn3;yes
Gypa;no
Hmga2;no
Ccdc146;no
Fgl1;yes
Serpinb9;no
Rbp2;yes
Pnmt;yes
Serpina1b;no
Ambp;yes
Fsd1;yes
Ccdc153;yes
Lbx1;no
Sapcd1;no
Adarb2;no
Dhrs7c;yes
Cnih3;no
Anks1b;yes
Neurod2;yes
Nrap;yes
Clec12a;yes
Gpr119;yes
Scimp;yes
Prss27;yes
Cyp3a13;yes
Epx;yes
1700003E16Rik;yes
Znrf4;no
Slc1a1;yes
Nxf3;yes
Nhlrc4;no
Lmo1;yes
Gm94;yes
Odf3b;yes
Arxes2;yes
Olfr314;no
Hkdc1;yes
Vax2;no
Aldh1a2;yes
Eps8l3;yes
Kcnf1;yes
Colec11;yes
Oas2;yes
Abo;yes
Cfap69;yes
Wbp2nl;no
Caly;yes
Usp29;no
Sftpd;yes
Ina;no
Capn9;yes
Klk9;yes
Tcea3;yes
Camk1g;yes
Kcng1;yes
Fbll1;yes
Olfr1028;no
Kcnt1;yes
Olfr985;no
Gpr20;yes
Prg4;no
Scg2;yes
Alpl;yes
Efhd1;yes
Clca4b;no
Defb35;no
Steap1;yes
Gmnc;yes
Itgam;yes
Kcne3;yes
Mos;no
Gm5414;yes
Cd300lb;yes
Dnase1;no
Cda;yes
Rgs8;yes
Cyp2f2;yes
Cdhr2;yes
Gp9;yes
Fam83a;yes
Aqp4;yes
Nr1h4;yes
Cfap44;yes
Csf3r;yes
Azgp1;yes
C1ra;no
Gpr6;no
Enpp7;yes
Klk8;yes
Mrgpra6;no
Pcsk2;yes
Ccdc169;no
Efcab3;yes
Trim15;yes
Gap43;yes
Ppp1r32;yes
Pou4f2;yes
Mgst2;yes
Gdf2;yes
Vwc2l;no
Upk2;yes
Rdh1;yes
Asic2;yes
Gata2;yes
Clec1a;yes
Tekt3;no
Fam131c;yes
Lipi;no
Gapt;yes
Faim;no
Col23a1;yes
Prss58;no
Zfp474;yes
Lgals4;yes
Itgae;no
Spata45;no
Spdye4b;yes
Lgals7;yes
Nlrp4f;yes
Bsnd;yes
Glis1;yes
Tas2r115;no
Draxin;yes
Il17f;no
Slc10a2;no
Ihh;yes
Krt26;yes
Capn13;yes
Ctxn3;yes
Olfr160;no
Fbxw21;yes
Clec4n;yes
Eras;no
Slc5a11;yes
Csmd3;yes
Nps;no
Clca1;yes
Tnr;yes
Penk;yes
Slc44a5;yes
Hoxd10;yes
Colec10;yes
Zscan10;yes
Plin5;yes
Olfr175;no
Ptcra;yes
Prtg;no
Galr1;no
Riiad1;yes
Slfn14;no
Frem3;yes
Stoml3;yes
Clvs2;no
Slc17a6;yes
Ccdc78;no
Capns2;no
Opn5;no
Gng4;yes
Ralyl;no
Fbxo39;no
Spi1;yes
Iqub;yes
Sema3g;yes
Bves;yes
B3gnt7;yes
Pbx4;yes
Ccdc39;no
Tsnaxip1;yes
Dmrt1;yes
Sema4f;yes
Ccl9;yes
Anxa8;yes
Tlr8;yes
Pax7;yes
Apol7a;yes
Ms4a8a;yes
Gpr17;no
Gpr34;no
Gjd2;yes
Hnf4a;yes
Ly6d;yes
Ido1;yes
Prdm13;no
Rtbdn;yes
Rgn;yes
Kctd8;yes
Myh7b;no
Vmn1r233;no
Robo3;yes
Dpy19l2;yes
Guca2a;yes
Car10;yes
Il19;yes
F11;yes
1700003F12Rik;no
Kcnk7;yes
Glt6d1;no
Clec9a;yes
Hs3st1;yes
Acsm3;no
Gp6;no
Slc5a7;yes
Lypd3;yes
Elf5;yes
Akap4;no
Nphp4;yes
Col4a3;yes
Mpp2;yes
Chst13;yes
Papolb;no
Fxyd7;yes
Slc18a2;yes
Klhl40;yes
Sox10;yes
Gprc5d;yes
Ngb;yes
Tmc5;yes
Serpina3a;yes
Hemgn;yes
Igsf23;yes
Gpd1;yes
Ccdc158;yes
Ghrh;yes
Dcdc2a;yes
Emx1;yes
Rdh1;yes
Klk1b8;yes
Ugt1a5;no
Umod;yes
Tas2r130;no
Ifnb1;yes
Myo1f;yes
Pllp;yes
Prap1;yes
Kcnmb1;yes
Tas2r139;no
Oca2;yes
Gm2a;yes
Prkg1;no
Sstr1;yes
1700125H20Rik;yes
Plcl1;yes
Sall4;no
Slc11a1;yes
Pyroxd2;yes
Tgm7;yes
Dppa3;yes
Ppp1r14bl;no
Ucn3;yes
Sun3;no
Ism1;yes
Sema5b;yes
Spink4;yes
Nt5c1b;no
Chst9;no
Cngb3;yes
Catsperb;no
Gsc2;no
Cabp1;yes
Nr2e1;no
Ifit1bl1;yes
Vat1l;yes
Hoxc13;yes
Insl5;no
Muc15;yes
Epo;no
Catip;yes
Pde11a;yes
Gal3st1;yes
Jakmip3;yes
Marco;yes
Spp1;yes
Lhfpl5;yes
Galntl6;no
Ocm;yes
Dppa5a;yes
Nkx3-2;no
Nrxn2;yes
Slc25a18;yes
Mcemp1;yes
Plcb1;yes
Stac2;yes
Mpz;yes
Defb14;yes
Tprg;yes
Klk7;yes
Cntn2;yes
Gm9745;yes
Ak7;yes
Abhd12b;yes
Opn1mw;no
Bpifb2;yes
Ffar4;yes
Cd14;yes
Olfm1;yes
Trim43a;yes
Rab3il1;yes
Sost;yes
Iqca;yes
Mefv;yes
Fzd9;yes
Hoxb9;yes
Clec1b;yes
Ly86;yes
Enpep;yes
4930579F01Rik;no
Ascl3;yes
Ces1b;yes
Cysrt1;yes
Rnf222;yes
Cilp2;yes
Tnfrsf13c;yes
Ankrd66;yes
Dnah10;yes
Mall;yes
Prmt8;yes
Foxd1;no
Il21;yes
Klk1b8;yes
Pcdh11x;no
Fshb;no
Tmem255b;yes
Tmem89;no
Dmrtb1;yes
Krt19;yes
Gm5724;yes
Gnat1;yes
Lims2;yes
Vmn1r233;no
Depdc7;yes
Klrb1a;no
Rdh1;yes
Hes3;yes
Pla2g4e;yes
Apoa4;yes
Hpca;no
Spata25;no
Armc3;yes
Pax3;yes
Vstm2b;yes
Col8a2;yes
Il5;yes
Drd5;no
Cabs1;no
Drd4;yes
Elovl2;yes
Gcm1;yes
Slc15a1;yes
Magea13;yes
Slc26a7;yes
Mybphl;no
Cysltr1;yes
Magea13;yes
Aplnr;yes
Sertm1;yes
Erich4;no
Ccl3;yes
Cyp2a4;yes
Irx5;yes
Hsd17b6;yes
Myl4;yes
Slc28a3;yes
Tcl1b2;no
Prss22;yes
Ppil6;yes
Epor;yes
Neurod1;yes
Btbd17;yes
Spata31d1c;yes
Slc6a2;yes
Tmprss5;yes
Actc1;yes
Folr1;yes
Gpr33;no
Ugt1a10;no
Itgb1bp2;no
Trat1;no
Ddx4;yes
Tmem247;no
Daw1;yes
Car2;yes
Gabrr1;yes
Aspdh;no
Tnn;yes
Asgr1;yes
Plekhg4;no
Pcdhb1;no
Serpina11;yes
Kcnc2;no
Cyp2j13;yes
Alppl2;yes
Mro;yes
Crlf1;yes
Tnfsf4;yes
Cd300a;yes
Tshr;yes
S100b;yes
Slc2a12;no
Hspb7;yes
Mypn;yes
Cd300a;yes
Hipk4;yes
Lrrc10b;yes
Kcnk1;yes
Shc3;yes
Klk1b8;yes
Kcnk5;yes
Otc;no
Gstm5;yes
Klk15;yes
Emid1;yes
Rnf17;yes
Plac1;yes
Pla2g2e;yes
Serpinb9;yes
Trp73;yes
Slc2a5;yes
Cgref1;no
Krt77;yes
